"FFMC","ROS"
8.6,5.28986969939461e-09
8.7,5.7617322896634e-09
8.8,6.27379119586589e-09
8.9,6.82930481262638e-09
9,7.43178147186928e-09
9.1,8.08499814025536e-09
9.2,8.79301918288194e-09
9.3,9.56021737532987e-09
9.4,1.03912957693527e-08
9.5,1.12913112019335e-08
9.6,1.2265699401225e-08
9.7,1.332030168642e-08
9.8,1.44613931937413e-08
9.9,1.56957136295097e-08
10,1.70304993012917e-08
10.1,1.84735175385096e-08
10.2,2.00331034518723e-08
10.3,2.17181986925842e-08
10.4,2.35383933215324e-08
10.5,2.55039695979149e-08
10.6,2.76259490310789e-08
10.7,2.99161423910961e-08
10.8,3.23872023696583e-08
10.9,3.5052680536186e-08
11,3.79270866115554e-08
11.1,4.10259522580198e-08
11.2,4.43658987022743e-08
11.3,4.79647084412877e-08
11.4,5.18414005755265e-08
11.5,5.60163124829239e-08
11.6,6.05111843644929e-08
11.7,6.53492507170759e-08
11.8,7.05553357646989e-08
11.9,7.61559559182049e-08
12,8.21794270720667e-08
12.1,8.86559793389941e-08
12.2,9.56178779943822e-08
12.3,1.03099551152991e-07
12.4,1.11137726031229e-07
12.5,1.19771571605504e-07
12.6,1.29042850840812e-07
12.7,1.38996081035109e-07
12.8,1.49678702998086e-07
12.9,1.61141261137188e-07
13,1.73437591691353e-07
13.1,1.86625024052628e-07
13.2,2.00764590973847e-07
13.3,2.15921252641716e-07
13.4,2.32164131385375e-07
13.5,2.495667604645e-07
13.6,2.68207346682388e-07
13.7,2.88169046324467e-07
13.8,3.09540256822603e-07
13.9,3.32414925171858e-07
14,3.56892870617823e-07
14.1,3.8308012701826e-07
14.2,4.11089302425856e-07
14.3,4.41039957655544e-07
14.4,4.73059005460159e-07
14.5,5.07281130222148e-07
14.6,5.43849230755333e-07
14.7,5.82914883902806e-07
14.8,6.24638834582094e-07
14.9,6.69191509858034e-07
15,7.16753560367806e-07
15.1,7.67516428372158e-07
15.2,8.21682944838172e-07
15.3,8.79467958235647e-07
15.4,9.41098992089275e-07
15.5,1.00681694014504e-06
15.6,1.07687679027017e-06
15.7,1.15154838964309e-06
15.8,1.23111724486529e-06
15.9,1.31588536159922e-06
16,1.40617212653543e-06
16.1,1.50231523074205e-06
16.2,1.6046716387852e-06
16.3,1.71361860441344e-06
16.4,1.82955473430845e-06
16.5,1.95290110299393e-06
16.6,2.08410242121642e-06
16.7,2.2236282571693e-06
16.8,2.37197431877827e-06
16.9,2.52966379280685e-06
17,2.69724874666931e-06
17.1,2.87531159718513e-06
17.2,3.06446664354354e-06
17.3,3.26536167344944e-06
17.4,3.47867964050358e-06
17.5,3.70514041816381e-06
17.6,3.94550263316274e-06
17.7,4.20056558038342e-06
17.8,4.47117122199923e-06
17.9,4.75820628032829e-06
18,5.06260441405467e-06
18.1,5.38534849980189e-06
18.2,5.72747300521289e-06
18.3,6.0900664720299e-06
18.4,6.47427409759834e-06
18.5,6.88130043801577e-06
18.6,7.31241221693421e-06
18.7,7.76894126111103e-06
18.8,8.25228755383237e-06
18.9,8.7639224219643e-06
19,9.30539185227539e-06
19.1,9.87831994837641e-06
19.2,1.04844125287927e-05
19.3,1.11254608725887e-05
19.4,1.18033456227065e-05
19.5,1.25200408381851e-05
19.6,1.32776182239148e-05
19.7,1.40782515152642e-05
19.8,1.49242210520368e-05
19.9,1.58179185254687e-05
20,1.67618519134809e-05
20.1,1.77586506145995e-05
20.2,1.88110707793547e-05
20.3,1.99220008466916e-05
20.4,2.10944673001452e-05
20.5,2.23316406391645e-05
20.6,2.36368415837216e-05
20.7,2.50135475076115e-05
20.8,2.64653991226352e-05
20.9,2.79962074100387e-05
21,2.96099608065825e-05
21.1,3.13108326639149e-05
21.2,3.31031889800453e-05
21.3,3.49915964107106e-05
21.4,3.69808305783958e-05
